method,split,key,source_session,source_event_id,event_id,camera,chain_translation_mm,chain_rotation_deg,corner_count,pixel_sse,reprojection_rmse_px,pixel_failure
shah,train,cam1-3_02:39,cam1-3_02,39,109,1,3.9658126695779026,0.5092002859550908,20,49.23319130116537,1.5689676749564565,
shah,train,cam1-3_02:40,cam1-3_02,40,110,1,3.96441678043976,0.3467950834843005,18,40.29665567277092,1.4962296257365437,
shah,train,cam1-3_02:41,cam1-3_02,41,111,1,3.668320000744129,0.6489074036896588,11,21.13809179164696,1.386234002011039,
shah,train,cam1-3_02:43,cam1-3_02,43,113,1,1.8024202142048935,0.5064230669286941,14,22.46063142520598,1.2666218125731696,
shah,train,cam1-3_02:44,cam1-3_02,44,114,1,2.6371884791119324,0.45562402464192425,36,32.81929074292225,0.9548020554445689,
shah,train,cam1-3_02:45,cam1-3_02,45,115,1,3.1671233077023926,0.411466139311229,26,30.038758302223012,1.0748659720066536,
shah,train,cam1-3_02:46,cam1-3_02,46,116,1,3.5923120738556547,0.33589487244196653,28,32.331767375653556,1.0745724627506108,
shah,train,cam0-3_01:0,cam0-3_01,0,30,3,27.89673732944991,4.840190207708418,40,4674.971306282719,10.810840978252708,
shah,train,cam0-3_01:1,cam0-3_01,1,31,3,25.21752570417405,4.563229764008268,22,1685.9951779851433,8.754207243027215,
shah,train,cam0-3_01:3,cam0-3_01,3,33,3,21.78250048993669,3.6353996285283086,25,6440.116954466819,16.05006785588998,
shah,train,cam0-3_01:4,cam0-3_01,4,34,3,14.056304557613398,2.0321839268530173,18,7804.849836007266,20.82313061638596,
shah,train,cam0-3_01:5,cam0-3_01,5,35,3,10.575289342320472,2.1478990679486683,34,9535.811729768944,16.74709081827519,
shah,train,cam0-3_01:7,cam0-3_01,7,37,3,18.634898049079805,3.2432521468488864,18,2257.722524977197,11.199510219889074,
shah,train,cam0-3_01:8,cam0-3_01,8,38,3,20.44385900232997,2.138302447705166,22,11392.135248943152,22.755753766847977,
shah,train,cam0-3_01:9,cam0-3_01,9,39,3,10.621228138818326,1.6362808146406307,24,4915.089050639262,14.310673537956529,
shah,train,cam0-3_01:11,cam0-3_01,11,41,3,13.0358577550042,2.71807513234191,18,1822.8672198183392,10.063319586548905,
shah,train,cam0-3_01:12,cam0-3_01,12,42,3,31.78232249722085,3.8382186351882757,11,3945.7496830008977,18.939496208623005,
shah,train,cam0-3_01:13,cam0-3_01,13,43,3,27.631685701138615,4.549799037962833,18,6094.729401549421,18.40098035061873,
shah,train,cam0-3_01:15,cam0-3_01,15,45,3,10.61727805687011,1.3916864992183715,30,8853.143056089668,17.17861369657989,
shah,train,cam0-3_01:16,cam0-3_01,16,46,3,12.994116960143911,1.520363078695729,34,14398.402462255259,20.578688621009086,
shah,train,cam0-3_01:17,cam0-3_01,17,47,3,14.773675945159322,1.0671717220849708,28,17196.254376839574,24.78208913772172,
shah,train,cam0-3_01:20,cam0-3_01,20,50,3,15.626003568449672,2.9098530825699958,29,11397.333204072314,19.8245173912405,
shah,train,cam0-3_01:21,cam0-3_01,21,51,3,24.113941566548043,4.518097770782831,20,7283.094142866424,19.08283802643939,
